GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0004672	protein kinase activity	6.80442204942088e-14	6.80442204942088e-14	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0016773	phosphotransferase activity, alcohol group as acceptor	6.11841062358745e-13	6.11841062358745e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0016301	kinase activity	4.1094094906677e-12	4.1094094906677e-12	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0005004	GPI-linked ephrin receptor activity	8.61311848094061e-12	8.61311848094061e-12	+1	ENSG00000044524,ENSG00000070886,ENSG00000116106,ENSG00000135333,ENSG00000145242
GO:0016772	transferase activity, transferring phosphorus-containing groups	6.05826601651955e-11	6.05826601651955e-11	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0004888	transmembrane signaling receptor activity	1.2008712333274e-09	1.2008712333274e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0038023	signaling receptor activity	1.04524998157215e-08	1.04524998157215e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0060089	molecular transducer activity	1.1354145395282e-08	1.1354145395282e-08	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0046875	ephrin receptor binding	4.79245454891407e-08	4.79245454891407e-08	+1	ENSG00000108947,ENSG00000116106,ENSG00000135333,ENSG00000143590,ENSG00000243364
GO:0140096	catalytic activity, acting on a protein	1.92049299726853e-07	1.92049299726853e-07	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0035639	purine ribonucleoside triphosphate binding	2.39645351886579e-07	2.39645351886579e-07	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0005524	ATP binding	2.93905431357027e-07	2.93905431357027e-07	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0032555	purine ribonucleotide binding	3.79532921651004e-07	3.79532921651004e-07	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0017076	purine nucleotide binding	4.15256817655155e-07	4.15256817655155e-07	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0032553	ribonucleotide binding	4.23928226439311e-07	4.23928226439311e-07	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0032559	adenyl ribonucleotide binding	4.69672017722489e-07	4.69672017722489e-07	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0030554	adenyl nucleotide binding	5.12267118073819e-07	5.12267118073819e-07	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0000166	nucleotide binding	1.97432602220277e-06	1.97432602220277e-06	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:1901265	nucleoside phosphate binding	1.98635510668041e-06	1.98635510668041e-06	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0008144	drug binding	2.10180887539082e-06	2.10180887539082e-06	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0097367	carbohydrate derivative binding	3.6136234802777e-06	3.6136234802777e-06	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0016740	transferase activity	6.79012491063459e-06	6.79012491063459e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0036094	small molecule binding	1.87300070004615e-05	1.87300070004615e-05	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0008046	axon guidance receptor activity	3.6866574961265e-05	3.6866574961265e-05	+1	ENSG00000133216,ENSG00000135333,ENSG00000154928
GO:0043168	anion binding	6.69482530199214e-05	6.69482530199214e-05	+1	ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0003824	catalytic activity	0.00205446755822	0.00205446755822	+1	ENSG00000182378,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0043167	ion binding	0.0426012900613061	0.0426012900613061	+1	ENSG00000167393,ENSG00000178605,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103,NLRP1
REAC:R-HSA-3928665	EPH-ephrin mediated repulsion of cells	2.23475822949852e-28	2.23475822949852e-28	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
REAC:R-HSA-2682334	EPH-Ephrin signaling	2.94818191221136e-24	2.94818191221136e-24	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
REAC:R-HSA-3928663	EPHA-mediated growth cone collapse	4.01845438277462e-23	4.01845438277462e-23	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000183317,ENSG00000243364
REAC:R-HSA-422475	Axon guidance	6.05607224266387e-13	6.05607224266387e-13	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
REAC:R-HSA-1266738	Developmental Biology	7.2596944986059e-09	7.2596944986059e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
REAC:R-HSA-3928664	Ephrin signaling	0.000770811732673001	0.000770811732673001	+1	ENSG00000108947,ENSG00000133216,ENSG00000154928
REAC:R-HSA-3928662	EPHB-mediated forward signaling	0.0109289713788888	0.0109289713788888	+1	ENSG00000108947,ENSG00000133216,ENSG00000154928
WP:WP4561	Cell migration and invasion through p75NTR	0.00107982065657064	0.00107982065657064	+1	ENSG00000108947,ENSG00000143590,ENSG00000243364
